"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1458","Post Request","chromium","Thu Dec 18 15:44:45 IST 2025","passed","Thu Dec 18 15:44:46 IST 2025","","APIS\fullPractice.spec.ts","",""
"","117","@sanity Aecond Grouping","chromium","Sat Dec 06 23:19:18 IST 2025","passed","Sat Dec 06 23:19:18 IST 2025","Group2","Grouping.spec.ts","",""
"","498","Third Grouping","chromium","Sun Dec 07 15:06:34 IST 2025","passed","Sun Dec 07 15:06:35 IST 2025","Group1","Grouping.spec.ts","",""
"","13529","Aecond Grouping","chromium","Sun Dec 07 15:06:36 IST 2025","passed","Sun Dec 07 15:06:50 IST 2025","Group2","Grouping.spec.ts","",""
"","430","Birst Grouping","chromium","Sun Dec 07 15:06:50 IST 2025","passed","Sun Dec 07 15:06:51 IST 2025","Group2","Grouping.spec.ts","",""
"","482","Birst Grouping","chromium","Sun Dec 07 15:06:35 IST 2025","passed","Sun Dec 07 15:06:35 IST 2025","Group1","Grouping.spec.ts","",""
"","516","Fourth Grouping","chromium","Sun Dec 07 15:06:35 IST 2025","passed","Sun Dec 07 15:06:36 IST 2025","Group1","Grouping.spec.ts","",""
"","1224","Aecond Grouping","chromium","Sun Dec 07 15:06:29 IST 2025","passed","Sun Dec 07 15:06:31 IST 2025","Group1","Grouping.spec.ts","",""
"","723","Third Grouping","chromium","Sun Dec 07 15:06:50 IST 2025","passed","Sun Dec 07 15:06:50 IST 2025","Group2","Grouping.spec.ts","",""
"","14","print array values","chromium","Wed Dec 17 15:51:22 IST 2025","passed","Wed Dec 17 15:51:22 IST 2025","","arrayPractice.spec.ts","",""
"","1506","Full End to End API","chromium","Thu Dec 18 15:33:24 IST 2025","passed","Thu Dec 18 15:33:25 IST 2025","","APIS\fullPractice.spec.ts","",""
